controller,difficulty,seed,success,collision,timeout,steps,time_s,path_m,min_range_m,progress,max_tilt_deg,motor_saturation_frac,motor_effort,decision_us
classical_vfh_6dof,cluttered,15002,False,True,False,715,14.3,48.476896035648444,0.04025413245163678,0.7920780979898383,31.871378172911033,0.0,227.60632762001214,90.40418438686255
classical_vfh_6dof,cluttered,15003,True,False,False,855,17.1,59.05541328348873,0.418091278623723,0.9757201736520575,32.133903144220454,0.0,280.92261436602723,92.71222309244222
classical_vfh_6dof,cluttered,15004,True,False,False,909,18.18,59.234957893185545,0.32572810665309015,0.9758639238124938,32.52695188514856,0.0011001100110011,302.6712134675616,89.09407341362615
classical_vfh_6dof,cluttered,15005,True,False,False,882,17.64,59.23425448603558,0.1259457258179677,0.9754403056525249,31.871378172911033,0.006802721088435374,286.7575670146388,85.59600335263491
classical_vfh_6dof,cluttered,15006,True,False,False,851,17.02,59.264577902176256,0.11940007742232539,0.975686743546206,31.871378172911033,0.0,279.8884268067868,92.49113041015578
classical_vfh_6dof,cluttered,15007,True,False,False,722,14.44,59.15294816865677,1.4320144418330178,0.9763635257759031,31.871378172911033,0.0,234.1301311339823,87.33582378040937
classical_vfh_6dof,cluttered,15008,True,False,False,824,16.48,59.32912456300222,0.027162156144695304,0.9759098744813051,31.352574105294536,0.009708737864077669,269.1653026539376,89.79629899275679
classical_vfh_6dof,cluttered,15009,True,False,False,690,13.8,58.99723215729358,2.0106330133699495,0.9754858007107203,31.871378172911033,0.0,220.51413632404612,90.11041179213221
classical_vfh_6dof,cluttered,15010,True,False,False,974,19.48,59.83736082219648,0.1804547967650003,0.975275305337912,32.31449689874961,0.014373716632443531,321.2653578937256,92.01034821463047
classical_vfh_6dof,cluttered,15011,True,False,False,725,14.5,59.196105024494855,0.5245361566277476,0.9754459602036968,31.871378172911033,0.012413793103448275,237.49052947633206,94.75872406715547
fly_heuristic_6dof,dense,15000,True,False,False,2029,40.58,136.53241751613098,0.9305752675423649,0.9752066026165898,30.38943944954518,0.03942828979793001,703.3446343867924,106.39988229698025
fly_heuristic_6dof,dense,15001,True,False,False,1722,34.44,106.9357090940118,0.8610210595965997,0.9756689072697952,38.85545103444046,0.04878048780487805,590.8748212259525,113.23318882086888
fly_heuristic_6dof,dense,15002,True,False,False,2398,47.96,140.38174722009654,0.8217761928711601,0.9755895407957493,35.13355137152898,0.043369474562135114,818.6849540110634,106.34238928711663
fly_heuristic_6dof,dense,15003,True,False,False,1370,27.400000000000002,90.50689856980179,1.2718271485262223,0.9759190687104519,29.986036209879273,0.03795620437956204,466.1715478013797,105.36006653855172
