controller,difficulty,seed,success,collision,timeout,steps,time_s,path_m,min_range_m,progress,decision_us
modified_fly_3d,cluttered,12012,True,False,False,290,23.2,90.3813082185051,3.448811780204685,0.9763629067544378,96.63992216168293
modified_fly_3d,cluttered,12013,True,False,False,208,16.64,73.93095498318803,3.0371644793704276,0.9792784303829994,106.73177502422521
modified_fly_3d,cluttered,12014,True,False,False,330,26.400000000000002,112.19023607128419,3.7752750924266913,0.9758541718478065,97.85934129137208
modified_fly_3d,cluttered,12015,True,False,False,286,22.88,99.73808943336361,3.900357037576652,0.9776956390174408,102.3871015343763
flywire_graph_3d,cluttered,12000,False,True,False,139,11.120000000000001,26.36733667260542,0.04708294911391474,0.03700466429698779,242.73451258555698
flywire_graph_3d,cluttered,12001,False,True,False,232,18.56,64.25068591514358,0.02910785446485422,0.6555009406117889,248.4736649985907
flywire_graph_3d,cluttered,12002,False,True,False,188,15.040000000000001,47.664607888674524,0.055956307645727066,0.44027412525696286,234.5181726033185
flywire_graph_3d,cluttered,12003,False,True,False,180,14.4,47.26354800775999,0.025423160063794324,0.49394854234600905,235.1887760192363
flywire_graph_3d,cluttered,12004,False,True,False,170,13.6,40.364701978964526,0.015376114369056166,0.34096419275016576,234.76783946320853
flywire_graph_3d,cluttered,12005,False,True,False,276,22.080000000000002,74.32797875550509,0.010449071168239031,0.6648924847304827,230.91786251693586
flywire_graph_3d,cluttered,12006,False,True,False,217,17.36,49.21433553119082,0.04243046390561352,0.44331997915840604,251.82670091755242
flywire_graph_3d,cluttered,12007,False,True,False,247,19.76,72.21612234986677,0.0491705381720963,0.7916583057609612,233.83219483184067
flywire_graph_3d,cluttered,12008,False,True,False,240,19.2,71.22175277919851,0.01160159492061559,0.8109611553047127,240.5779120939163
flywire_graph_3d,cluttered,12009,False,True,False,237,18.96,70.20815667807851,0.007050459109537081,0.802995698964679,232.75456476744407
flywire_graph_3d,cluttered,12010,False,True,False,166,13.280000000000001,31.35877857998787,0.004107146828930326,0.022773262233653613,236.97232666245876
flywire_graph_3d,cluttered,12011,False,True,False,245,19.6,70.67263386725277,0.02300569022849282,0.7401477982186899,244.3320742732256
flywire_graph_3d,cluttered,12012,False,True,False,144,11.52,29.435108567541207,0.04004566203346771,0.15807809824976893,237.32766163043885
flywire_graph_3d,cluttered,12013,False,True,False,256,20.48,70.47323414699214,0.04051720539357024,0.661695437845814,243.8517419705022
flywire_graph_3d,cluttered,12014,False,True,False,196,15.68,56.269179959020484,0.0629711977843489,0.6113533724779805,231.3973352417578
flywire_graph_3d,cluttered,12015,False,True,False,160,12.8,35.546731212760825,0.0335365337701286,0.22355003720259226,253.17646759503987
flywire_bilateral_3d,cluttered,12000,True,False,False,208,16.64,69.14828887237661,2.170679814838501,0.9765198019496731,340.7321007846174
flywire_bilateral_3d,cluttered,12001,True,False,False,200,16.0,67.97124005723225,2.5593846278265784,0.9754958000449657,348.6577144940384
flywire_bilateral_3d,cluttered,12002,True,False,False,199,15.92,66.29065523661181,2.4551216986261517,0.9767352488034599,365.35247161179484
flywire_bilateral_3d,cluttered,12003,True,False,False,284,22.72,85.73001995407472,1.4081311131565781,0.9797870056405351,354.8770465373232
flywire_bilateral_3d,cluttered,12004,True,False,False,203,16.240000000000002,65.5409524579998,2.6776193251509675,0.9777972527782277,342.14868531401817
flywire_bilateral_3d,cluttered,12005,True,False,False,210,16.8,69.60505734621461,3.447700213169589,0.9761071900006354,354.01762718157397
flywire_bilateral_3d,cluttered,12006,True,False,False,195,15.6,65.51698784475165,2.75319759179856,0.9758452968748419,341.834579833234
flywire_bilateral_3d,cluttered,12007,True,False,False,203,16.240000000000002,69.22297498271845,2.2184362501066053,0.9766467364550704,336.08958637800635
flywire_bilateral_3d,cluttered,12008,True,False,False,192,15.36,64.89954919507612,2.3114799628366294,0.9759519357067244,344.2558402942571
flywire_bilateral_3d,cluttered,12009,True,False,False,184,14.72,64.1845086721575,4.710384181565284,0.9774568963410462,339.29544240337515
flywire_bilateral_3d,cluttered,12010,True,False,False,218,17.44,67.3027416808587,1.7017467267314772,0.976506152963525,335.88666034170313
flywire_bilateral_3d,cluttered,12011,True,False,False,275,22.0,86.41580077945248,2.693001578531243,0.9767631057920426,353.43011925843626
flywire_bilateral_3d,cluttered,12012,True,False,False,281,22.48,82.98226176270828,3.797060640384384,0.9754562710522641,353.3836065135313
flywire_bilateral_3d,cluttered,12013,True,False,False,188,15.040000000000001,63.79622971644826,3.0829680357985505,0.9763957284066829,346.34014554420844
flywire_bilateral_3d,cluttered,12014,True,False,False,205,16.4,70.96462485100787,2.824427162383723,0.975447060882472,360.6797278313557
flywire_bilateral_3d,cluttered,12015,True,False,False,287,22.96,89.34753047865935,2.504176447162345,0.9772707069117723,344.45190708110766
classical_vfh_3d,cluttered,12000,True,False,False,231,18.48,59.69508187578482,0.03740929217200284,0.979626679041729,72.76686394256559
classical_vfh_3d,cluttered,12001,True,False,False,225,18.0,59.745279512218005,0.15999279757034524,0.9789283586253598,70.3718275245693
classical_vfh_3d,cluttered,12002,True,False,False,185,14.8,59.04656711587099,0.058015784818419736,0.9760978623030435,69.00650379877236
classical_vfh_3d,cluttered,12003,True,False,False,202,16.16,59.924267020473906,0.2687554810030197,0.9793631365115507,72.17124048021097
classical_vfh_3d,cluttered,12004,True,False,False,180,14.4,59.34336960410057,0.5656519268954856,0.9805945809750206,71.89011602248583
classical_vfh_3d,cluttered,12005,True,False,False,182,14.56,59.18425430679409,0.7016396607728215,0.9768880085065031,76.93540908723742
classical_vfh_3d,cluttered,12006,True,False,False,212,16.96,59.65112707635057,0.31364460536748595,0.9773380758552666,71.82754217075922
