rank,node_index,root_id,type,side,gate,is_input,is_output
287,87,720575940616713355,LC4,left,0.00376798864454031,True,False
288,305,720575940633588320,LPLC2,right,0.0037598316557705402,True,False
289,188,720575940624244922,LPLC2,right,0.003758833510801196,True,False
290,77,720575940615920453,LPLC2,right,0.003758585313335061,True,False
291,184,720575940624017251,LC4,left,0.0037577301263809204,True,False
292,71,720575940615288203,LPLC2,right,0.0037562826182693243,True,False
293,207,720575940625835278,LPLC2,right,0.0037506783846765757,True,False
294,66,720575940615053580,LC4,left,0.0037486176006495953,True,False
295,278,720575940630831185,LPLC2,left,0.003748126095160842,True,False
296,258,720575940628849668,LPLC2,right,0.0037443493492901325,True,False
297,40,720575940612944382,LPLC2,right,0.003741982625797391,True,False
298,27,720575940612045352,LPLC2,right,0.003740451065823436,True,False
299,85,720575940616377817,LPLC2,left,0.003737047780305147,True,False
300,56,720575940614067167,LPLC2,right,0.0037368065677583218,True,False
301,108,720575940618538641,LPLC2,right,0.0037348149344325066,True,False
302,60,720575940614526974,LPLC2,right,0.0037348114419728518,True,False
303,199,720575940625001735,LPLC2,right,0.00373189733363688,True,False
304,165,720575940622531767,LC4,left,0.0037315732333809137,True,False
305,206,720575940625700739,LPLC2,left,0.003731085918843746,True,False
306,173,720575940623262461,LPLC2,left,0.0037307969760149717,True,False
307,153,720575940621634913,LPLC2,right,0.0037301976699382067,True,False
308,194,720575940624790781,LC4,right,0.00372911524027586,True,False
309,139,720575940620575476,LPLC2,right,0.003728720126673579,True,False
310,245,720575940628395797,LPLC2,left,0.003728291718289256,True,False
311,39,720575940612874536,LPLC2,left,0.0037276078946888447,True,False
312,99,720575940618172509,LPLC2,right,0.0037272823974490166,True,False
313,124,720575940619627934,LPLC2,right,0.003726814640685916,True,False
314,216,720575940626236041,LPLC2,left,0.003726350609213114,True,False
315,67,720575940615055989,LPLC2,left,0.0037262465339154005,True,False
316,164,720575940622425271,LPLC2,left,0.003725209506228566,True,False
317,263,720575940628990214,LPLC2,right,0.003723961766809225,True,False
318,268,720575940629753807,LC4,left,0.0037231463938951492,True,False
319,105,720575940618307046,LPLC2,right,0.0037230541929602623,True,False
320,76,720575940615907723,LPLC2,left,0.0037225093692541122,True,False
321,272,720575940630209603,LPLC2,left,0.0037218749057501554,True,False
322,83,720575940616116697,LPLC2,right,0.0037207873538136482,True,False
323,84,720575940616166685,LPLC2,right,0.003720761276781559,True,False
324,298,720575940632777124,LPLC2,left,0.0037197500932961702,True,False
325,192,720575940624611002,LPLC2,right,0.003719635307788849,True,False
326,178,720575940623827348,LPLC2,left,0.0037193172611296177,True,False
327,187,720575940624208824,LPLC2,left,0.003718349151313305,True,False
328,78,720575940615953302,LPLC2,left,0.003718331456184387,True,False
329,54,720575940613821290,LPLC2,right,0.003717993851751089,True,False
330,79,720575940615967377,LPLC2,right,0.0037177572958171368,True,False
