controller,difficulty,seed,success,collision,timeout,steps,time_s,path_m,min_clearance_m,progress,decision_us
classical_vfh,sparse,7001,True,False,False,153,12.24,48.92049125131497,1.2397551142345788,0.9784098250262994,56.64182842094329
classical_vfh,sparse,7002,True,False,False,211,16.88,48.930682646404826,0.11777121897559839,0.9786136529280965,56.34929113072383
classical_vfh,sparse,7003,True,False,False,220,17.6,49.086138975614965,0.09230624111457342,0.9817227795122992,56.61090809470889
classical_vfh,sparse,7004,True,False,False,153,12.24,48.96000000000004,4.657505694969133,0.9792000000000008,56.00522835343297
classical_vfh,sparse,7005,True,False,False,212,16.96,49.31940843565707,0.015777481333923538,0.9783440991182205,56.6622650883389
classical_vfh,sparse,7006,True,False,False,153,12.24,48.96000000000004,5.8395316994362005,0.9792000000000008,56.69934653031816
classical_vfh,sparse,7007,True,False,False,155,12.4,48.937371934632,0.9279151159553449,0.9787474386926399,55.85419280724901
classical_vfh,sparse,7008,True,False,False,289,23.12,49.75318245537058,0.026872363005808975,0.9816560490721269,57.13183389312771
classical_vfh,sparse,7009,True,False,False,225,18.0,48.9696644376065,0.12022734469169194,0.9793932887521299,56.45288917649951
classical_vfh,sparse,7010,True,False,False,153,12.24,48.96000000000004,3.1706673771476246,0.9792000000000008,56.341828038806426
classical_vfh,sparse,7011,True,False,False,230,18.400000000000002,50.0137547697209,0.017702025113050635,0.9769738622114263,58.70869702092655
classical_vfh,sparse,7012,True,False,False,216,17.28,49.377237413724245,0.01655634291154362,0.9778840162263858,56.57268478966284
classical_vfh,sparse,7013,True,False,False,153,12.24,48.96000000000004,3.0276704111173283,0.9792000000000008,56.58823609492114
classical_vfh,sparse,7014,True,False,False,163,13.040000000000001,49.1044523678011,0.582741366998059,0.982089047356022,55.97914151270285
classical_vfh,sparse,7015,True,False,False,260,20.8,49.577047047755784,0.027430393183245805,0.9808043142997966,56.572691447889575
classical_vfh,sparse,7016,True,False,False,226,18.080000000000002,49.43016068524103,0.019574932353598307,0.9803044843204437,56.934070209890145
classical_vfh,sparse,7017,True,False,False,156,12.48,48.81774069589672,0.8184792572895818,0.9763548139179343,57.8666671898622
classical_vfh,sparse,7018,True,False,False,294,23.52,50.03513329236203,0.016640002164210355,0.9762953720427126,56.2234693579059
classical_vfh,sparse,7019,True,False,False,210,16.8,49.407995768630876,0.048646229621780446,0.9816696903647746,56.613332846955885
classical_vfh,sparse,7020,True,False,False,212,16.96,49.21721088171762,0.04951791201765543,0.9770264190137026,57.254716938466956
classical_vfh,sparse,7021,True,False,False,193,15.44,49.45763294344071,0.21798481786489732,0.9787554113735646,56.11347157020759
classical_vfh,sparse,7022,True,False,False,153,12.24,48.96000000000004,1.4856387497899413,0.9792000000000008,56.80065315971577
classical_vfh,sparse,7023,True,False,False,218,17.44,49.19997043083395,0.037503194762670056,0.9774456084231613,55.94266158285115
classical_vfh,sparse,7024,True,False,False,213,17.04,49.448733611719376,0.031012652525782336,0.9787042838539134,58.17370931399295
classical_vfh,sparse,7025,True,False,False,205,16.4,49.314529630997185,0.10503162334211158,0.9792826521104673,57.81951249667966
classical_vfh,sparse,7026,True,False,False,215,17.2,49.35137506000367,0.07914139946159571,0.9807377120859695,56.20604632747208
classical_vfh,sparse,7027,True,False,False,235,18.8,50.503716697730475,0.01739791483503428,0.9815179335874764,56.96723361479792
classical_vfh,sparse,7028,True,False,False,249,19.92,49.5549763916028,0.01988110957147793,0.98138708112905,56.441766247302894
classical_vfh,sparse,7029,True,False,False,255,20.400000000000002,49.893781778697495,0.017187690253817944,0.9783345888821412,57.103136536099164
fly_connectome,cluttered,7000,False,False,True,650,52.0,150.40855126233402,1.569698505317752,0.9538155758187855,60.1781535302647
fly_connectome,cluttered,7001,True,False,False,357,28.560000000000002,75.75708001125734,0.20949280655582259,0.9765237716374733,60.61204378453999
fly_connectome,cluttered,7002,True,False,False,620,49.6,129.65717992238044,0.19520665861183994,0.9817303346738342,63.228549251723436
fly_connectome,cluttered,7003,True,False,False,345,27.6,69.39670790646362,1.1605084294844377,0.9795177701641511,61.1886954056504
fly_connectome,cluttered,7004,True,False,False,441,35.28,92.28053467870609,0.9370775333250032,0.9773398970621713,60.0126987590313
fly_connectome,cluttered,7005,True,False,False,368,29.44,79.25571298507008,1.4866890579510617,0.9776151498477526,59.77527128023844
fly_connectome,cluttered,7006,True,False,False,584,46.72,116.69244232033952,0.08558824167569679,0.9768940744734539,61.382192317779136
fly_connectome,cluttered,7007,True,False,False,266,21.28,61.88579488067385,2.8759427817324266,0.977161949033979,59.820676709987445
fly_connectome,cluttered,7008,True,False,False,480,38.4,93.80917529045023,0.11095999418518843,0.9803925630459634,61.889999536409356
fly_connectome,cluttered,7009,True,False,False,339,27.12,66.3730296930571,1.2994725162760963,0.9778844598704651,59.09793455274583
fly_connectome,cluttered,7010,True,False,False,393,31.44,75.82247317886643,0.5082803204785935,0.9789393979046482,60.85801493428629
fly_connectome,cluttered,7011,False,False,True,650,52.0,134.2687368714841,0.5042086363065854,0.35272943974680426,61.11492335688896
fly_connectome,cluttered,7012,False,False,True,650,52.0,132.1476471848175,0.7329800945498466,0.8789362273129815,61.779076976773254
fly_connectome,cluttered,7013,False,False,True,650,52.0,157.57073483937455,3.1803075420299414,0.9247849484471233,60.47861561035881
fly_connectome,cluttered,7014,True,False,False,556,44.480000000000004,115.37662100772656,0.25217127517157367,0.976760720238577,60.78848924752486
fly_connectome,cluttered,7015,True,False,False,363,29.04,76.21339043030552,1.6748264728961209,0.977234932366452,59.6550967064545
fly_connectome,cluttered,7016,True,False,False,369,29.52,73.42522161586017,1.3561624385073465,0.9762815275530939,59.85203277645254
fly_connectome,cluttered,7017,True,False,False,319,25.52,68.94213681900244,1.0069175470764675,0.9777869180769884,59.71222585300713
fly_connectome,cluttered,7018,True,False,False,557,44.56,105.05925977397163,0.06375856904229504,0.9763923962996557,62.173609270695835
fly_connectome,cluttered,7019,True,False,False,413,33.04,81.64820013830905,0.686305745735275,0.9778901214169823,61.98159808836444
fly_connectome,cluttered,7020,True,False,False,328,26.240000000000002,69.61177015014869,2.7029997446405054,0.9761974757168738,60.31311097946699
fly_connectome,cluttered,7021,True,False,False,269,21.52,59.35503362782919,4.229687741535767,0.9768273216136394,60.43828905258868
fly_connectome,cluttered,7022,True,False,False,346,27.68,69.56121742576005,0.4579882713320873,0.9782883246805212,60.178902632061586
fly_connectome,cluttered,7023,True,False,False,521,41.68,107.05135974046617,0.19979978500596784,0.976150072349855,61.286563963598915
fly_connectome,cluttered,7024,True,False,False,568,45.44,119.86010086062701,0.9547514506126782,0.9766751315210405,59.99647825300484
fly_connectome,cluttered,7025,True,False,False,412,32.96,85.46111618030237,1.1573166693545005,0.9764001683347787,60.25437097793029
fly_connectome,cluttered,7026,True,False,False,505,40.4,101.0459198741622,0.7337054397010185,0.9788253351128166,59.36237567307261
fly_connectome,cluttered,7027,True,False,False,478,38.24,92.02702467944016,0.48297970565064485,0.9789946356965954,60.83744741483323
fly_connectome,cluttered,7028,True,False,False,562,44.96,117.11270990321017,0.8972905980559238,0.97852828961155,59.62473382382883
fly_connectome,cluttered,7029,True,False,False,331,26.48,66.48600390258608,0.518811540146864,0.976542786579574,59.7658623227979
modified_fly,cluttered,7000,True,False,False,518,41.44,141.21528254191438,1.868729478120391,0.9778983005003438,63.52741372165662
modified_fly,cluttered,7001,True,False,False,240,19.2,66.98506889042785,1.6004448086165692,0.978718105238908,64.39874911545
modified_fly,cluttered,7002,True,False,False,227,18.16,61.31572873393994,2.3989004697226806,0.9766292594899973,64.7828209835478
modified_fly,cluttered,7003,True,False,False,266,21.28,69.62046828071968,1.9351296846542798,0.9790484786315905,63.55789618713683
modified_fly,cluttered,7004,True,False,False,258,20.64,69.41991642817877,0.6659631362852276,0.977427776316355,63.15038643701565
modified_fly,cluttered,7005,True,False,False,250,20.0,66.42107727099115,0.9534046169511012,0.9796489028003403,63.347599818371236
modified_fly,cluttered,7006,True,False,False,297,23.76,73.5288702030161,1.7476396225317057,0.9768271281346074,63.904039095303276
modified_fly,cluttered,7007,True,False,False,216,17.28,62.0226079322426,3.2791647382001945,0.9779047152607622,63.041666079597135
modified_fly,cluttered,7008,True,False,False,302,24.16,70.15217509298414,0.24710084755967832,0.9782199565722312,64.48145655511156
